#{"t_start": 1624518013.8560648, "env_id": null}
r,l,t
0.041189,999,26.253735
0.056484,999,29.279484
0.054117,999,32.254702
0.032196,999,35.301491
0.044673,999,38.321785
0.058968,999,41.601464
0.046247,999,44.722354
0.059567,999,48.276636
0.047668,999,51.331434
0.033242,999,54.35393
0.049105,999,57.325573
0.045629,999,60.34523
0.053104,999,63.268553
0.066519,999,66.202439
0.049604,999,69.17669
0.057882,999,72.356757
0.054597,999,75.272663
0.035555,999,78.208062
0.059573,999,81.151133
0.044488,999,84.093671
0.041358,999,87.169823
0.071922,999,90.084645
0.073119,999,92.977561
0.079277,999,95.875997
0.049592,999,98.770608
0.066888,999,101.665314
0.061707,999,104.572119
0.066039,999,107.479115
0.085253,999,110.377967
0.07625,999,113.355162
0.062692,999,116.319013
0.050252,999,119.281846
0.064665,999,122.241709
0.041769,999,125.205627
0.064393,999,128.180976
0.059324,999,131.329192
0.058162,999,134.473274
0.059524,999,137.772192
0.075517,999,140.961884
0.071885,999,143.974255
0.096252,999,146.955695
0.091914,999,150.245247
0.076423,999,153.371303
0.071274,999,156.379483
0.084139,999,159.444799
0.075418,999,162.477111
0.052294,999,165.458981
0.083362,999,168.356403
0.054838,999,171.257887
0.064816,999,174.16128
0.054759,999,196.283013
0.081255,999,199.27288
0.05871,999,202.263865
0.098346,999,205.68176
0.099398,999,208.614051
0.085209,999,211.536809
0.120161,999,214.658166
0.060815,999,217.675639
0.095819,999,221.478323
0.091839,999,224.834781
0.060777,999,227.871792
0.099128,999,230.869016
0.076444,999,233.898251
0.081314,999,236.94195
0.074413,999,239.886115
0.073048,999,242.791159
0.096531,999,245.736004
0.082637,999,248.63525
0.076302,999,251.537982
0.083067,999,254.440691
0.094247,999,257.428058
0.10404,999,260.451087
0.104961,999,263.466999
0.089261,999,266.464388
0.104393,999,269.389274
0.095027,999,272.310183
0.100299,999,275.262387
0.061299,999,278.185536
0.103679,999,281.108646
0.086324,999,284.050445
0.127996,999,286.96871
0.108197,999,289.964923
0.098619,999,292.944928
0.106307,999,295.925078
0.106478,999,298.917985
0.102108,999,301.947923
0.090617,999,304.996013
0.135952,999,307.936235
0.102329,999,310.963477
0.110014,999,313.897899
0.094063,999,316.972532
0.106552,999,320.030147
0.141944,999,323.231486
0.123119,999,326.376957
0.137401,999,329.619493
0.099025,999,332.685825
0.119865,999,335.781379
0.107034,999,339.100762
0.108816,999,342.387378
0.157414,999,345.653041
0.129409,999,368.739368
0.106893,999,371.842203
0.120332,999,375.043151
0.122993,999,378.334548
0.107913,999,381.387472
0.108421,999,384.329817
0.099972,999,387.298051
0.156763,999,390.32698
