#{"t_start": 1624518013.855933, "env_id": null}
r,l,t
0.041189,999,26.253832
0.056484,999,29.279575
0.054117,999,32.254791
0.032196,999,35.301581
0.044673,999,38.321875
0.058968,999,41.601555
0.046247,999,44.722437
0.059567,999,48.276726
0.047668,999,51.331524
0.033242,999,54.354022
0.049105,999,57.325663
0.045629,999,60.345318
0.053104,999,63.268646
0.066519,999,66.202529
0.049604,999,69.176784
0.057882,999,72.356847
0.054597,999,75.272743
0.035555,999,78.208153
0.059573,999,81.151223
0.044488,999,84.093761
0.041358,999,87.169916
0.071922,999,90.084738
0.073119,999,92.977654
0.079277,999,95.876089
0.049592,999,98.770701
0.066888,999,101.665409
0.061707,999,104.572212
0.066039,999,107.479206
0.085253,999,110.37806
0.07625,999,113.355255
0.062692,999,116.319107
0.050252,999,119.281939
0.064665,999,122.241803
0.041769,999,125.205719
0.064393,999,128.181067
0.059324,999,131.329279
0.058162,999,134.473365
0.059524,999,137.772286
0.075517,999,140.961979
0.071885,999,143.974346
0.096252,999,146.955787
0.091914,999,150.245337
0.076423,999,153.371394
0.071274,999,156.379575
0.084139,999,159.444871
0.075418,999,162.477204
0.052294,999,165.459072
0.083362,999,168.356495
0.054838,999,171.257979
0.064816,999,174.161374
0.054759,999,196.283109
0.081255,999,199.272969
0.05871,999,202.263957
0.098346,999,205.681852
0.099398,999,208.614145
0.085209,999,211.536901
0.120161,999,214.658257
0.060815,999,217.67573
0.095819,999,221.478413
0.091839,999,224.83487
0.060777,999,227.871884
0.099128,999,230.869092
0.076444,999,233.898344
0.081314,999,236.94204
0.074413,999,239.886206
0.073048,999,242.791251
0.096531,999,245.736094
0.082637,999,248.635342
0.076302,999,251.538072
0.083067,999,254.440782
0.094247,999,257.428149
0.10404,999,260.451179
0.104961,999,263.46709
0.089261,999,266.46448
0.104393,999,269.389366
0.095027,999,272.310277
0.100299,999,275.262478
0.061299,999,278.185629
0.103679,999,281.108738
0.086324,999,284.050535
0.127996,999,286.968801
0.108197,999,289.965013
0.098619,999,292.94502
0.106307,999,295.925165
0.106478,999,298.918077
0.102108,999,301.948012
0.090617,999,304.996105
0.135952,999,307.936328
0.102329,999,310.963565
0.110014,999,313.897992
0.094063,999,316.972621
0.106552,999,320.030236
0.141944,999,323.231571
0.123119,999,326.377044
0.137401,999,329.619585
0.099025,999,332.685914
0.119865,999,335.78147
0.107034,999,339.100837
0.108816,999,342.387469
0.157414,999,345.653126
