#{"t_start": 1624517272.3072262, "env_id": null}
r,l,t
0.0,999,25.450914
0.0,999,30.72067
0.0,999,35.498842
0.0,999,40.270055
0.0,999,45.026497
0.0,999,49.74637
0.0,999,54.458385
0.0,999,59.126158
0.0,999,63.768624
0.0,999,68.447357
0.0,999,73.107228
0.0,999,77.777189
0.0,999,82.419626
0.0,999,87.083414
0.0,999,91.741781
0.0,999,96.393929
0.0,999,101.04314
0.0,999,105.683699
0.0,999,110.335597
0.0,999,114.999899
0.0,999,119.651452
0.0,999,124.305066
0.0,999,128.951306
0.0,999,133.621035
0.0,999,138.303068
0.0,999,143.203592
0.0,999,148.223737
0.0,999,153.136827
0.0,999,158.131368
0.0,999,162.951842
0.0,999,167.811604
0.0,999,172.682651
0.0,999,177.528093
0.0,999,182.475093
0.0,999,187.250441
0.0,999,192.155174
