#{"t_start": 1624587062.0139837, "env_id": null}
r,l,t
0.050042,999,27.151378
0.071496,999,32.626679
0.090002,999,37.407466
0.163371,999,42.179225
0.246786,999,46.94312
0.241564,999,51.718101
0.227633,999,56.548298
0.257995,999,61.406289
0.295633,999,66.25142
0.336723,999,71.138216
0.282401,999,76.006323
0.384142,999,80.834558
0.340557,999,85.714319
0.36268,999,90.612824
0.3276,999,95.473152
0.401679,999,100.298429
0.381012,999,105.128458
0.41668,999,109.955185
0.365708,999,114.769477
0.402052,999,119.641463
0.43067,999,124.457047
0.35955,999,129.296873
0.36943,999,134.1722
0.381251,999,139.060626
0.384213,999,143.912706
0.360272,999,148.755858
0.307519,999,153.614434
0.265194,999,158.507508
0.413632,999,163.382212
0.367584,999,168.22041
0.358429,999,173.029544
0.334476,999,177.861863
0.33292,999,182.669529
0.363501,999,187.528181
0.329339,999,192.33377
0.365537,999,197.136969
0.315574,999,201.951831
0.395684,999,206.791428
0.363774,999,211.645678
0.373619,999,216.450946
0.334004,999,221.251531
0.332758,999,226.075225
0.287336,999,230.856614
0.29994,999,235.64067
0.343891,999,240.467813
0.256664,999,245.264195
0.290199,999,250.06264
0.309909,999,254.894542
0.379758,999,259.719915
0.349085,999,264.530277
0.252531,999,288.669897
0.293181,999,293.549039
0.350432,999,298.361523
0.267606,999,303.183436
0.354799,999,308.014881
0.25936,999,312.902942
0.324432,999,317.699274
0.332418,999,322.521948
0.336886,999,327.422303
0.347189,999,332.29104
0.271591,999,337.211846
0.341941,999,342.098426
0.358315,999,346.953107
0.306537,999,351.844432
0.300165,999,356.741457
0.342793,999,361.608655
0.309395,999,367.099794
0.357731,999,372.006504
0.267889,999,376.99199
0.368069,999,381.813088
0.381192,999,386.618836
0.335616,999,391.465225
0.332222,999,396.318289
0.310728,999,401.262823
0.344449,999,406.372669
0.388826,999,411.410813
0.372177,999,416.607719
0.336558,999,421.47569
0.363184,999,426.270812
0.314279,999,431.057045
0.334661,999,435.849925
0.31047,999,440.644284
0.407136,999,445.44554
0.351932,999,450.288129
0.304657,999,455.499797
0.271373,999,460.359043
0.298955,999,465.227725
0.300648,999,470.541883
0.30322,999,475.375169
0.300721,999,480.222135
0.357435,999,485.593082
0.266799,999,490.424357
0.274212,999,495.235456
0.345735,999,500.054702
0.259296,999,504.869213
0.309672,999,509.730399
0.258721,999,514.603259
0.291208,999,519.47884
0.261312,999,524.334688
0.317753,999,529.212373
0.340134,999,553.579221
0.315855,999,558.486911
0.325097,999,563.378965
0.30329,999,568.239657
0.318701,999,573.532026
0.433511,999,578.406301
0.281571,999,583.267648
0.269103,999,588.241385
0.264182,999,593.896728
0.305426,999,599.560643
0.289526,999,604.561318
