#{"t_start": 1624587062.0136976, "env_id": null}
r,l,t
0.050042,999,27.151616
0.071496,999,32.626926
0.090002,999,37.407707
0.163371,999,42.17947
0.246786,999,46.943362
0.241564,999,51.718334
0.227633,999,56.548541
0.257995,999,61.406533
0.295633,999,66.251664
0.336723,999,71.138453
0.282401,999,76.006558
0.384142,999,80.834791
0.340557,999,85.714561
0.36268,999,90.613069
0.3276,999,95.473397
0.401679,999,100.298673
0.381012,999,105.128702
0.41668,999,109.955429
0.365708,999,114.769722
0.402052,999,119.641706
0.43067,999,124.457291
0.35955,999,129.297118
0.36943,999,134.172445
0.381251,999,139.060868
0.384213,999,143.912949
0.360272,999,148.756102
0.307519,999,153.614677
0.265194,999,158.507751
0.413632,999,163.382456
0.367584,999,168.220652
0.358429,999,173.029789
0.334476,999,177.862106
0.33292,999,182.669774
0.363501,999,187.528423
0.329339,999,192.334012
0.365537,999,197.137212
0.315574,999,201.952077
0.395684,999,206.791666
0.363774,999,211.645923
0.373619,999,216.45119
0.334004,999,221.251776
0.332758,999,226.075469
0.287336,999,230.856857
0.29994,999,235.640914
0.343891,999,240.468056
0.256664,999,245.264441
0.290199,999,250.062885
0.309909,999,254.894772
0.379758,999,259.72016
0.349085,999,264.53052
0.252531,999,288.670138
0.293181,999,293.549284
0.350432,999,298.361767
0.267606,999,303.18368
0.354799,999,308.015125
0.25936,999,312.903186
0.324432,999,317.699516
0.332418,999,322.522194
0.336886,999,327.422545
0.347189,999,332.291284
0.271591,999,337.21209
0.341941,999,342.09867
0.358315,999,346.953349
0.306537,999,351.844677
0.300165,999,356.7417
0.342793,999,361.608899
0.309395,999,367.100037
0.357731,999,372.006704
0.267889,999,376.992231
0.368069,999,381.813334
0.381192,999,386.61908
0.335616,999,391.465469
0.332222,999,396.318532
0.310728,999,401.263027
0.344449,999,406.372914
0.388826,999,411.411057
0.372177,999,416.607957
0.336558,999,421.475931
0.363184,999,426.271038
0.314279,999,431.057288
0.334661,999,435.850171
0.31047,999,440.644527
0.407136,999,445.445786
0.351932,999,450.288373
0.304657,999,455.500039
0.271373,999,460.359287
0.298955,999,465.227967
0.300648,999,470.542126
0.30322,999,475.375413
0.300721,999,480.222382
0.357435,999,485.59333
0.266799,999,490.424601
0.274212,999,495.235699
0.345735,999,500.054946
0.259296,999,504.869456
0.309672,999,509.730643
0.258721,999,514.603503
0.291208,999,519.479084
0.261312,999,524.334933
0.317753,999,529.212615
0.340134,999,553.579463
0.315855,999,558.487153
0.325097,999,563.379206
0.30329,999,568.239901
0.318701,999,573.532269
0.433511,999,578.406544
0.281571,999,583.26789
0.269103,999,588.241628
0.264182,999,593.89697
0.305426,999,599.560884
0.289526,999,604.561563
