#{"t_start": 1624761614.6804, "env_id": null}
r,l,t
0.122901,999,27.680486
0.180643,999,33.71049
0.401004,999,39.163117
0.544185,999,44.637273
0.676002,999,50.080663
0.621985,999,55.616651
0.694438,999,61.115961
0.771438,999,66.644982
0.764487,999,72.184129
0.760496,999,77.727081
0.804435,999,83.206812
0.820322,999,88.649166
0.855918,999,94.079224
0.83455,999,99.510444
0.798665,999,104.955477
0.726091,999,110.441329
0.771285,999,115.898411
0.734826,999,121.347818
0.553155,999,126.778517
0.79957,999,132.34485
0.858646,999,137.978548
0.721182,999,143.518763
0.70405,999,149.056753
0.853074,999,154.552349
0.801526,999,160.054609
0.426456,999,165.551015
0.757751,999,171.044905
0.717817,999,176.532291
0.742949,999,182.041773
0.706218,999,187.547747
0.775267,999,193.050272
0.777977,999,198.527216
0.795768,999,203.989928
0.671345,999,209.435738
0.616995,999,214.890757
0.539472,999,220.364901
0.774761,999,225.877316
0.855834,999,231.331064
0.830119,999,236.787756
0.456616,999,242.249714
0.746992,999,247.713347
0.533083,999,253.155271
0.848066,999,258.625068
0.737539,999,264.074681
0.769947,999,269.528129
0.785842,999,274.982189
0.726104,999,280.422269
0.896823,999,285.947329
0.830561,999,291.411452
0.217291,999,296.865423
0.794734,999,321.317562
0.723669,999,326.774691
0.020126,999,332.233934
0.84178,999,337.705146
0.601187,999,343.152518
0.529382,999,348.681822
0.556023,999,354.228113
0.665541,999,359.770947
0.882926,999,365.303934
0.702144,999,370.853321
0.70447,999,376.354449
0.911817,999,381.805482
0.784673,999,387.259125
0.655256,999,392.726727
0.86692,999,398.209422
0.780944,999,403.725799
0.334011,999,409.183349
0.808256,999,414.719103
0.903356,999,420.264549
0.697868,999,425.781567
0.817023,999,431.240369
0.844899,999,436.695673
0.669459,999,442.147423
0.868381,999,447.606314
0.684601,999,453.070025
0.647266,999,458.534839
0.78549,999,463.976511
0.717985,999,469.45216
0.946472,999,474.920549
0.667756,999,480.371194
0.876159,999,485.869441
0.644878,999,491.404133
0.742679,999,496.944437
0.795546,999,502.489764
0.682951,999,508.024085
0.343249,999,513.588976
0.796223,999,519.141814
0.76164,999,524.689153
0.698779,999,530.222094
0.885768,999,535.759952
0.811563,999,541.296305
0.838422,999,546.852252
0.829363,999,552.408815
0.787439,999,557.911081
0.753331,999,563.366328
0.898032,999,568.831249
0.826439,999,574.284049
0.546453,999,579.724347
0.878452,999,585.182676
0.636159,999,590.671701
0.631182,999,615.057118
0.926259,999,620.573071
0.636807,999,626.103419
0.770346,999,631.610204
0.652064,999,637.112909
0.823806,999,642.641164
0.698141,999,648.111789
0.693785,999,653.578755
0.675699,999,659.103739
0.862656,999,664.635453
0.716197,999,670.173736
0.534674,999,675.713397
0.676836,999,681.246214
0.698723,999,686.798119
0.717736,999,692.32502
0.445867,999,697.870732
0.851582,999,703.418132
0.723107,999,708.971737
0.697206,999,714.527683
0.723047,999,720.090085
0.742758,999,725.653881
0.875565,999,731.195678
0.813961,999,736.73775
0.649246,999,742.277365
0.377259,999,747.819105
0.595857,999,753.388824
0.829349,999,758.927777
0.822714,999,764.485582
0.758644,999,770.038173
0.561489,999,775.595639
0.771363,999,781.147043
0.871804,999,786.702946
0.754596,999,792.270445
0.795607,999,797.825494
0.65506,999,803.373305
0.862802,999,808.924934
0.811726,999,814.475108
0.725667,999,820.028716
0.808192,999,825.593229
0.843584,999,831.145576
0.127323,999,836.618672
0.732972,999,842.099451
0.596419,999,847.646795
0.818433,999,853.228943
0.710311,999,858.815116
0.490515,999,864.428209
0.722496,999,869.937604
0.895675,999,875.420262
0.514373,999,880.908224
0.594793,999,886.386802
0.865374,999,910.794301
0.816273,999,916.330301
0.870615,999,921.867539
0.819658,999,927.366371
0.726506,999,932.901386
0.756585,999,938.430359
0.868347,999,943.963032
0.786005,999,949.43333
0.576658,999,954.908007
0.795854,999,960.385796
0.593688,999,965.849329
0.482368,999,971.321037
0.856127,999,976.80325
0.853627,999,982.276837
0.745111,999,987.743742
0.750251,999,993.226748
0.822417,999,998.703049
0.86447,999,1004.168693
0.708714,999,1009.642022
0.685785,999,1015.106459
0.782877,999,1020.579428
0.712517,999,1026.05089
0.581175,999,1031.551081
0.83133,999,1037.02446
0.544426,999,1042.570812
0.762376,999,1048.099426
0.885109,999,1053.586331
0.492453,999,1059.093707
0.699788,999,1064.570806
0.868543,999,1070.072293
0.699494,999,1075.578347
0.671389,999,1081.053101
0.877601,999,1086.536469
0.63358,999,1092.026659
0.900103,999,1097.528186
0.681438,999,1102.995932
0.791442,999,1108.46613
0.667102,999,1113.979404
0.833753,999,1119.530896
0.500709,999,1125.173026
0.577806,999,1130.739831
0.759092,999,1136.304663
0.866643,999,1141.871637
0.759662,999,1147.422272
0.195237,999,1153.041751
0.678341,999,1158.561193
0.469139,999,1164.020783
0.784022,999,1169.482445
0.883162,999,1174.991898
0.794,999,1180.457396
0.561251,999,1204.86641
0.766861,999,1208.633172
0.802117,999,1212.331663
0.638767,999,1216.027483
0.894214,999,1219.723686
0.773926,999,1223.416707
0.954916,999,1227.118101
0.831398,999,1230.809255
