#{"t_start": 1624761614.6802588, "env_id": null}
r,l,t
0.808692,999,1431.884685
0.864632,999,1435.583338
0.819342,999,1439.289404
0.677655,999,1443.004384
0.821171,999,1446.716131
0.640685,999,1450.413183
0.621122,999,1454.114403
0.91873,999,1457.815308
0.787998,999,1461.5235
0.84543,999,1465.232222
0.727663,999,1468.935539
0.817887,999,1472.641892
0.798073,999,1476.361063
0.830939,999,1480.060452
0.875001,999,1483.766932
0.820193,999,1487.514139
0.818126,999,1491.257473
0.706623,999,1495.024095
0.758786,999,1498.799212
0.577775,999,1502.564103
0.805291,999,1506.324779
0.743177,999,1510.088808
0.740335,999,1513.849832
0.76643,999,1517.616093
0.812902,999,1521.382697
0.932321,999,1525.19397
0.781204,999,1528.996963
0.653635,999,1532.762061
0.896367,999,1536.505168
0.816333,999,1540.235068
0.633449,999,1543.96288
0.681316,999,1547.691683
0.809726,999,1551.44497
0.643576,999,1555.178172
0.384336,999,1558.91401
0.736297,999,1562.648559
0.723658,999,1566.422177
0.880923,999,1570.216132
0.738345,999,1574.016001
0.759059,999,1577.810704
0.748373,999,1581.60341
0.788842,999,1585.392798
-0.032918,999,1589.121184
0.650751,999,1592.815171
0.82855,999,1615.474684
0.892589,999,1619.196161
0.793606,999,1622.886204
0.678986,999,1626.578411
0.645405,999,1630.272375
0.811628,999,1633.966514
0.89438,999,1637.664595
0.639127,999,1641.365383
0.715718,999,1645.057342
0.760524,999,1648.773907
0.571771,999,1652.479997
0.803893,999,1656.178695
0.855471,999,1659.893773
0.515363,999,1663.611922
0.761811,999,1667.322237
0.859012,999,1671.025286
0.910566,999,1674.743351
0.708694,999,1678.443201
0.856554,999,1682.140826
0.706225,999,1685.843025
0.884735,999,1689.541946
0.829462,999,1693.233203
0.837793,999,1696.933036
0.849292,999,1700.633607
0.798379,999,1704.349197
0.744419,999,1708.052218
0.813913,999,1711.748459
0.875949,999,1715.44413
0.835312,999,1719.145003
0.746681,999,1722.849888
0.764663,999,1726.55459
0.622083,999,1730.259777
0.832648,999,1733.967456
0.782683,999,1737.675957
0.587253,999,1741.385722
0.455844,999,1745.079991
0.87671,999,1748.785449
0.662278,999,1752.494001
0.756963,999,1756.202138
0.872635,999,1759.913526
0.79542,999,1763.609259
0.65552,999,1767.303612
0.866683,999,1770.999506
0.516513,999,1774.682536
0.631656,999,1778.378326
0.740398,999,1782.069964
0.646433,999,1785.759689
0.592312,999,1789.467735
0.622443,999,1793.156422
0.841668,999,1796.855167
0.863799,999,1819.5784
0.68176,999,1823.308723
0.786912,999,1827.002305
0.886966,999,1830.700613
0.82923,999,1834.395353
0.672846,999,1838.089021
0.428142,999,1841.78622
0.58889,999,1845.474329
0.29292,999,1849.171491
0.705923,999,1852.878007
0.795446,999,1856.56962
0.861046,999,1860.268205
0.763999,999,1863.968888
0.721541,999,1867.673814
0.850213,999,1871.369801
0.434906,999,1875.06938
0.552911,999,1878.75782
0.554885,999,1882.441301
0.695876,999,1886.132109
0.708989,999,1889.827614
0.673656,999,1893.516309
0.895195,999,1897.214158
0.671993,999,1900.909014
0.616005,999,1904.601175
0.77755,999,1908.300454
0.780082,999,1911.988196
0.843563,999,1915.674299
0.705407,999,1919.360792
0.837647,999,1923.061664
0.832519,999,1926.762913
0.867961,999,1930.475892
0.719345,999,1934.181885
0.802327,999,1937.895126
0.744069,999,1941.609687
0.908941,999,1945.309605
0.923435,999,1949.010047
0.914362,999,1952.733765
0.770098,999,1956.439703
0.656583,999,1960.156119
0.849555,999,1963.877235
0.678582,999,1967.589892
0.884831,999,1971.305057
0.81735,999,1975.005097
0.853088,999,1978.694627
0.69712,999,1982.381539
0.772541,999,1986.089128
0.791144,999,1989.799608
0.600996,999,1993.507663
0.479558,999,1997.225179
0.823975,999,2000.931996
0.810206,999,2023.616859
0.84222,999,2027.344398
0.696894,999,2031.043175
0.848477,999,2034.754151
0.647476,999,2038.465436
0.738901,999,2042.169655
0.61629,999,2045.876429
0.482359,999,2049.570239
0.819235,999,2053.263181
0.87408,999,2056.976653
0.863636,999,2060.692693
0.597466,999,2064.45459
0.640082,999,2068.207256
0.458254,999,2071.944808
0.844171,999,2075.687618
0.830716,999,2079.414455
0.850706,999,2083.152862
0.562318,999,2086.887438
0.812414,999,2090.638664
0.747119,999,2094.379988
0.929312,999,2098.11633
0.583028,999,2101.84314
0.87471,999,2105.569465
0.748945,999,2109.317167
0.856079,999,2113.046007
0.777106,999,2116.773074
0.809025,999,2120.518205
0.808628,999,2124.25265
0.715361,999,2127.988546
0.805217,999,2131.719291
0.882794,999,2135.446325
0.683011,999,2139.154852
0.909844,999,2142.862914
0.676363,999,2146.579183
0.783553,999,2150.292827
0.884388,999,2154.002188
0.709904,999,2157.704361
0.746054,999,2161.402049
0.89719,999,2165.101876
0.480693,999,2168.800478
0.372747,999,2172.487874
0.704813,999,2176.173744
0.625995,999,2179.868844
0.660995,999,2183.554113
0.766237,999,2187.248436
0.858375,999,2190.940423
0.57521,999,2194.637597
0.809843,999,2198.331882
0.67426,999,2202.021782
0.884958,999,2205.74759
0.821377,999,2228.525891
0.805563,999,2232.290091
