#{"t_start": 1624603073.4077435, "env_id": null}
r,l,t
0.728496,999,1132.518753
0.742587,999,1136.222223
0.49994,999,1139.918034
0.731275,999,1143.626149
0.721598,999,1147.336666
0.668386,999,1151.042083
0.682671,999,1154.73422
0.734398,999,1158.43389
0.724816,999,1162.132957
0.675017,999,1165.832006
0.674399,999,1169.571166
0.687203,999,1173.277166
0.714427,999,1176.976866
0.67413,999,1180.67168
0.650718,999,1184.374698
0.69452,999,1188.065594
0.718,999,1191.771422
0.654912,999,1195.472654
0.566233,999,1199.174308
0.84377,999,1202.868986
0.748274,999,1206.562656
0.639719,999,1210.267957
0.627589,999,1213.971713
0.681114,999,1217.684829
0.755465,999,1221.397933
0.744903,999,1225.144559
0.69138,999,1228.929121
0.81606,999,1232.705408
0.729095,999,1236.476143
0.745769,999,1240.271146
0.691474,999,1244.036391
0.659689,999,1247.807711
0.749744,999,1251.575155
0.744035,999,1255.340517
0.760067,999,1259.117029
0.811963,999,1262.901903
0.80224,999,1266.678804
0.756592,999,1270.448803
0.814988,999,1274.221951
0.759026,999,1297.135957
0.758878,999,1300.976878
0.686468,999,1304.769438
0.749386,999,1308.524161
0.768099,999,1312.292185
0.701147,999,1316.044485
0.755585,999,1319.792524
0.780519,999,1323.585635
0.714693,999,1327.341933
0.690543,999,1331.091163
0.790546,999,1334.843019
0.78304,999,1338.603075
0.771492,999,1342.372799
0.717472,999,1346.142906
0.815326,999,1349.906521
0.769525,999,1353.661236
0.782959,999,1357.420889
0.780284,999,1361.191322
0.793815,999,1364.959496
0.837837,999,1368.728107
0.789947,999,1372.481875
0.798838,999,1376.223924
0.746995,999,1379.985981
0.719363,999,1383.7327
0.78552,999,1387.490435
0.811629,999,1391.252466
0.763506,999,1394.991458
0.699393,999,1398.731431
0.782738,999,1402.467789
0.782774,999,1406.204706
0.748843,999,1409.936018
0.78142,999,1413.669453
0.747507,999,1417.39967
0.827364,999,1421.137244
0.729761,999,1424.88088
0.797198,999,1428.619
0.862744,999,1432.353311
0.809895,999,1436.091809
0.739355,999,1439.836818
0.789632,999,1443.571408
0.819374,999,1447.309541
0.779783,999,1451.071696
0.747974,999,1454.842075
0.833502,999,1458.596583
0.689186,999,1462.354755
0.795539,999,1466.111395
0.845995,999,1469.845419
0.797875,999,1473.586768
0.837495,999,1477.332634
0.832535,999,1481.087131
0.739764,999,1503.886742
0.820834,999,1507.707449
0.831058,999,1511.489386
0.80321,999,1515.247219
0.800732,999,1519.024296
0.807067,999,1522.806078
0.841955,999,1526.577991
0.770608,999,1530.340051
0.664451,999,1534.087814
0.727742,999,1537.842571
0.730017,999,1541.59371
0.705999,999,1545.333053
0.771956,999,1549.101562
0.804078,999,1552.881008
0.736077,999,1556.646533
0.749428,999,1560.415705
0.788551,999,1564.191271
0.805946,999,1567.962361
0.807935,999,1571.746951
0.792252,999,1575.553944
0.795272,999,1579.340933
0.801961,999,1583.107115
0.811716,999,1586.879124
0.794895,999,1590.645648
0.816152,999,1594.411375
0.836736,999,1598.182073
0.763148,999,1601.95433
0.802366,999,1605.721482
0.809429,999,1609.486454
0.808435,999,1613.256197
0.763032,999,1617.028288
0.796691,999,1620.807394
0.799585,999,1624.582165
0.780119,999,1628.354213
0.824132,999,1632.132681
0.810608,999,1635.896124
0.823198,999,1639.658327
0.811358,999,1643.435905
0.805122,999,1647.214651
0.85616,999,1650.989515
0.790227,999,1654.758614
0.809403,999,1658.529895
0.846659,999,1662.298816
0.869734,999,1666.065598
0.786788,999,1669.83112
0.841029,999,1673.595375
0.788572,999,1677.380644
0.764563,999,1681.149654
0.791253,999,1684.925791
0.825314,999,1688.710923
0.869295,999,1711.654586
0.798084,999,1715.480771
0.814439,999,1719.28337
0.835587,999,1723.078361
0.850596,999,1726.862871
0.846751,999,1730.657007
0.726786,999,1734.434895
0.785308,999,1738.217489
0.856905,999,1741.991883
0.839262,999,1745.766768
0.811473,999,1749.542408
0.82817,999,1753.313606
0.837832,999,1757.095475
0.87303,999,1760.876979
0.823549,999,1764.645107
0.874141,999,1768.410486
0.744441,999,1772.181114
0.804484,999,1775.995582
0.795584,999,1779.779471
0.829242,999,1783.556746
0.778937,999,1787.327278
0.865832,999,1791.094885
0.763745,999,1794.868063
0.804389,999,1798.642731
0.784949,999,1802.412467
0.800725,999,1806.184497
0.774536,999,1809.956579
0.743973,999,1813.732706
0.761499,999,1817.505086
