#{"t_start": 1624511304.1750965, "env_id": null}
r,l,t
0.0,999,25.609415
0.0,999,28.61295
0.0,999,31.585852
0.0,999,34.560797
0.0,999,37.531571
0.0,999,40.495873
0.0,999,43.456804
0.0,999,46.416793
0.0,999,49.383575
0.0,999,52.341307
0.0,999,55.294414
0.0,999,58.248645
0.0,999,61.20301
0.0,999,64.159017
0.0,999,67.126616
0.0,999,70.080201
0.0,999,73.039891
0.0,999,75.994362
0.0,999,78.960237
0.0,999,81.915532
0.0,999,84.872155
0.0,999,87.827612
0.0,999,91.053795
0.0,999,94.255483
0.0,999,97.2154
0.0,999,100.104631
0.0,999,102.992669
0.0,999,105.888106
0.0,999,108.791595
0.0,999,111.771122
0.0,999,114.674856
0.0,999,117.582788
0.0,999,120.501511
0.0,999,123.732223
0.0,999,126.650945
0.0,999,129.57463
0.0,999,132.496968
0.0,999,135.435008
0.0,999,138.354244
0.0,999,141.271006
0.0,999,144.184299
0.0,999,147.099724
0.0,999,150.011254
0.0,999,152.933057
0.0,999,155.843198
0.0,999,158.756313
0.0,999,161.668416
0.0,999,164.578674
0.0,999,167.490858
0.0,999,170.401814
0.0,999,192.113212
0.0,999,195.069535
0.0,999,197.983463
0.0,999,200.897616
0.0,999,203.815536
0.0,999,206.72836
0.0,999,209.641704
0.0,999,212.557975
0.0,999,215.47097
0.0,999,218.384701
0.0,999,221.297301
0.0,999,224.220341
0.0,999,227.137294
0.0,999,230.045774
0.0,999,232.961279
0.0,999,235.876316
0.0,999,238.788967
0.0,999,241.703884
0.0,999,244.617718
0.0,999,247.533122
0.0,999,250.447471
0.0,999,253.364239
0.0,999,256.282433
0.0,999,259.198633
0.0,999,262.111156
0.0,999,265.025358
0.0,999,267.94003
0.0,999,270.854076
0.0,999,273.768191
0.0,999,276.685532
0.0,999,279.601551
0.0,999,282.523832
0.0,999,285.437245
0.0,999,288.375971
0.0,999,291.292419
0.0,999,294.208229
0.0,999,297.126752
0.0,999,300.048564
0.0,999,302.973286
0.0,999,305.896384
0.0,999,308.821824
0.0,999,311.747085
0.0,999,314.668741
0.0,999,317.592291
0.0,999,320.511338
0.0,999,323.42856
0.0,999,326.348036
0.0,999,329.270313
0.0,999,332.188717
0.0,999,335.106985
0.0,999,356.921678
0.0,999,359.913093
0.0,999,362.833104
0.0,999,365.755393
0.0,999,368.673174
0.0,999,371.588803
0.0,999,374.512278
0.0,999,377.438
0.0,999,380.357565
0.0,999,383.278366
0.0,999,386.194517
0.0,999,389.11069
0.0,999,392.028373
0.0,999,394.9458
0.0,999,397.864619
0.0,999,400.785838
0.0,999,403.701568
0.0,999,406.623955
0.0,999,409.544011
0.0,999,412.461487
0.0,999,415.418174
0.0,999,418.341439
0.0,999,421.262383
0.0,999,424.180616
0.0,999,427.100363
0.0,999,430.0198
0.0,999,432.938269
0.0,999,435.855451
0.0,999,438.772702
0.0,999,441.689344
0.0,999,444.609521
0.0,999,447.53066
0.0,999,450.44325
0.0,999,453.357861
0.0,999,456.273678
0.0,999,459.22433
0.0,999,462.143457
0.0,999,465.062096
0.0,999,468.013109
0.0,999,470.931402
0.0,999,473.851776
0.0,999,476.7679
0.0,999,479.687003
0.0,999,482.605317
0.0,999,485.522384
0.0,999,488.440485
0.0,999,491.35939
0.0,999,494.280766
0.0,999,497.201242
0.0,999,500.12118
0.0,999,521.983273
0.0,999,524.979458
0.0,999,527.927872
0.0,999,530.878088
0.0,999,533.822387
0.0,999,536.76599
0.0,999,539.712059
0.0,999,542.665089
0.0,999,545.610498
0.0,999,548.557092
0.0,999,551.505394
0.0,999,554.454793
0.0,999,557.40114
0.0,999,560.354641
0.0,999,563.301923
0.0,999,566.248452
0.0,999,569.196946
0.0,999,572.141705
0.0,999,575.090533
0.0,999,578.041173
0.0,999,580.98734
0.0,999,583.932713
0.0,999,586.884698
0.0,999,589.835307
0.0,999,592.786162
0.0,999,595.749464
0.0,999,598.711794
0.0,999,601.694059
0.0,999,604.659074
0.0,999,607.620451
0.0,999,610.581997
0.0,999,613.545841
0.0,999,616.50955
0.0,999,619.473687
0.0,999,622.438545
0.0,999,625.400311
0.0,999,628.366948
0.0,999,631.336256
0.0,999,634.296453
0.0,999,637.261721
0.0,999,640.236872
0.0,999,643.207106
0.0,999,646.173632
0.0,999,649.138835
0.0,999,652.104877
0.0,999,655.071319
0.0,999,658.037673
0.0,999,660.998904
0.0,999,663.96017
0.0,999,666.920385
0.0,999,688.815997
0.0,999,691.870383
0.0,999,694.834407
0.0,999,697.794349
0.0,999,700.75909
0.0,999,703.72347
0.0,999,706.687204
0.0,999,709.650346
0.0,999,712.617798
0.0,999,715.584656
0.0,999,718.546621
0.0,999,721.516076
0.0,999,724.48097
0.0,999,727.447708
0.0,999,730.415234
0.0,999,733.381252
0.0,999,736.343238
0.0,999,739.304845
0.0,999,742.266985
0.0,999,745.233615
0.0,999,748.199167
0.0,999,751.163273
0.0,999,754.128816
0.0,999,757.072962
0.0,999,760.016134
0.0,999,762.956418
0.0,999,765.89936
0.0,999,768.845394
0.0,999,771.786362
0.0,999,774.772166
0.0,999,777.785519
0.0,999,780.796095
0.0,999,783.808927
0.0,999,786.819924
0.0,999,789.831178
0.0,999,792.834064
0.0,999,795.842521
0.0,999,798.852755
0.0,999,801.863952
0.0,999,804.890021
0.0,999,807.900946
0.0,999,810.9111
0.0,999,813.915573
0.0,999,816.921954
0.0,999,819.937461
0.0,999,822.950118
0.0,999,825.967145
0.0,999,828.956218
0.0,999,831.916012
0.0,999,834.877297
0.0,999,856.729181
0.0,999,859.71619
0.0,999,862.681796
0.0,999,865.642191
0.0,999,868.604591
0.0,999,871.564083
0.0,999,874.523781
0.0,999,877.486962
0.0,999,880.446684
0.0,999,883.407784
0.0,999,886.364163
0.0,999,889.323068
0.0,999,892.281709
0.0,999,895.23618
0.0,999,898.19107
0.0,999,901.151016
0.0,999,904.106192
0.0,999,907.062113
0.0,999,910.029912
0.0,999,912.990041
0.0,999,915.954346
0.0,999,918.914288
0.0,999,921.883508
0.0,999,924.864621
0.0,999,927.831576
0.0,999,930.796324
0.0,999,933.764219
0.0,999,936.72618
0.0,999,939.690748
0.0,999,942.656005
0.0,999,945.618303
0.0,999,948.584206
0.0,999,951.542777
0.0,999,954.504412
0.0,999,957.46496
0.0,999,960.427267
0.0,999,963.388335
0.0,999,966.355826
0.0,999,969.322838
0.0,999,972.289405
0.0,999,975.264098
0.0,999,978.228274
0.0,999,981.194457
0.0,999,984.169936
0.0,999,987.133047
0.0,999,990.098892
0.0,999,993.095568
0.0,999,996.10804
0.0,999,999.122596
0.0,999,1002.137702
0.0,999,1024.129811
0.0,999,1027.168665
0.0,999,1030.201575
0.0,999,1033.216985
0.0,999,1036.252201
0.0,999,1039.268835
0.0,999,1042.272887
0.0,999,1045.272614
0.0,999,1048.284366
0.0,999,1051.297638
0.0,999,1054.308848
0.0,999,1057.322163
0.0,999,1060.333549
0.0,999,1063.344814
0.0,999,1066.356705
0.0,999,1069.367587
0.0,999,1072.372827
0.0,999,1075.388055
0.0,999,1078.398702
0.0,999,1081.410694
0.0,999,1084.420574
0.0,999,1087.432085
0.0,999,1090.443256
0.0,999,1093.450797
0.0,999,1096.464186
0.0,999,1099.475212
0.0,999,1102.445114
0.0,999,1105.3876
0.0,999,1108.32769
0.0,999,1111.267865
0.0,999,1114.208637
0.0,999,1117.151767
0.0,999,1120.092621
0.0,999,1123.036085
0.0,999,1125.975959
0.0,999,1128.91979
0.0,999,1131.86132
0.0,999,1134.799606
0.0,999,1137.738673
0.0,999,1140.676713
0.0,999,1143.613564
0.0,999,1146.543794
0.0,999,1149.475391
0.0,999,1152.411395
0.0,999,1155.348239
0.0,999,1158.289284
0.0,999,1161.23026
0.0,999,1164.17413
0.0,999,1167.122516
0.0,999,1170.07182
0.0,999,1191.890561
0.0,999,1194.856218
0.0,999,1197.796365
0.0,999,1200.740799
0.0,999,1203.689339
0.0,999,1206.634096
0.0,999,1209.582205
0.0,999,1212.527692
0.0,999,1215.471566
0.0,999,1218.446765
0.0,999,1221.435301
0.0,999,1224.423105
0.0,999,1227.410391
0.0,999,1230.397128
0.0,999,1233.38481
0.0,999,1236.375052
0.0,999,1239.364843
0.0,999,1242.348486
0.0,999,1245.331303
0.0,999,1248.317992
0.0,999,1251.316625
0.0,999,1254.307651
0.0,999,1257.28106
0.0,999,1260.22302
0.0,999,1263.167065
0.0,999,1266.114682
0.0,999,1269.061255
0.0,999,1272.008369
0.0,999,1274.955748
0.0,999,1277.898695
0.0,999,1280.838298
0.0,999,1283.780614
0.0,999,1286.719806
0.0,999,1289.667067
0.0,999,1292.612613
0.0,999,1295.548873
0.0,999,1298.485793
0.0,999,1301.4195
0.0,999,1304.355822
0.0,999,1307.29999
0.0,999,1310.238411
0.0,999,1313.224903
0.0,999,1316.237628
0.0,999,1319.251377
0.0,999,1322.265631
0.0,999,1325.277613
0.0,999,1328.288025
0.0,999,1331.302425
0.0,999,1334.334642
0.0,999,1337.344233
0.0,999,1359.340108
0.0,999,1362.387164
0.0,999,1365.401924
0.0,999,1368.419564
0.0,999,1371.418895
0.0,999,1374.424855
0.0,999,1377.428546
0.0,999,1380.425103
0.0,999,1383.429095
0.0,999,1386.441337
0.0,999,1389.45259
0.0,999,1392.453289
0.0,999,1395.46866
0.0,999,1398.470419
0.0,999,1401.467694
0.0,999,1404.469615
0.0,999,1407.46776
0.0,999,1410.477129
0.0,999,1413.489904
0.0,999,1416.501865
0.0,999,1419.517933
0.0,999,1422.525814
0.0,999,1425.530601
0.0,999,1428.538339
0.0,999,1431.553901
0.0,999,1434.560698
0.0,999,1437.561521
0.0,999,1440.557596
0.0,999,1443.5536
0.0,999,1446.552754
0.0,999,1449.569182
0.0,999,1452.582325
0.0,999,1455.600461
0.0,999,1458.616966
0.0,999,1461.625886
0.0,999,1464.63514
0.0,999,1467.646351
0.0,999,1470.660284
0.0,999,1473.677631
0.0,999,1476.691744
0.0,999,1479.701693
0.0,999,1482.703596
0.0,999,1485.712457
0.0,999,1488.720384
0.0,999,1491.714612
0.0,999,1494.707253
0.0,999,1497.715374
0.0,999,1500.71033
0.0,999,1503.709858
0.0,999,1506.705019
0.0,999,1528.695334
0.0,999,1531.720423
0.0,999,1534.726078
0.0,999,1537.74437
0.0,999,1540.74831
0.0,999,1543.758577
0.0,999,1546.767749
0.0,999,1549.775978
0.0,999,1552.790875
0.0,999,1555.742608
0.0,999,1558.670766
