#{"t_start": 1624511304.1749697, "env_id": null}
r,l,t
0.0,999,25.609509
0.0,999,28.613036
0.0,999,31.58594
0.0,999,34.560884
0.0,999,37.531659
0.0,999,40.49596
0.0,999,43.456891
0.0,999,46.416881
0.0,999,49.383661
0.0,999,52.341395
0.0,999,55.2945
0.0,999,58.248732
0.0,999,61.203099
0.0,999,64.159104
0.0,999,67.126701
0.0,999,70.080289
0.0,999,73.039976
0.0,999,75.994451
0.0,999,78.960321
0.0,999,81.91562
0.0,999,84.872242
0.0,999,87.8277
0.0,999,91.0538
0.0,999,94.255569
0.0,999,97.215489
0.0,999,100.104722
0.0,999,102.992756
0.0,999,105.888195
0.0,999,108.791677
0.0,999,111.771211
0.0,999,114.674944
0.0,999,117.582876
0.0,999,120.501599
0.0,999,123.732311
0.0,999,126.651032
0.0,999,129.574719
0.0,999,132.497058
0.0,999,135.435098
0.0,999,138.354297
0.0,999,141.271094
0.0,999,144.184384
0.0,999,147.099813
0.0,999,150.011341
0.0,999,152.933145
0.0,999,155.843286
0.0,999,158.756401
0.0,999,161.668504
0.0,999,164.578761
0.0,999,167.490949
0.0,999,170.401901
0.0,999,192.113307
0.0,999,195.069623
0.0,999,197.983553
0.0,999,200.897703
0.0,999,203.815625
0.0,999,206.728448
0.0,999,209.641793
0.0,999,212.558064
0.0,999,215.471059
0.0,999,218.384787
0.0,999,221.29739
0.0,999,224.2136
0.0,999,227.137385
0.0,999,230.045861
0.0,999,232.961367
0.0,999,235.876402
0.0,999,238.789055
0.0,999,241.703973
0.0,999,244.617808
0.0,999,247.533211
0.0,999,250.44756
0.0,999,253.364326
0.0,999,256.282521
0.0,999,259.198722
0.0,999,262.111245
0.0,999,265.025445
0.0,999,267.940117
0.0,999,270.854163
0.0,999,273.76828
0.0,999,276.685619
0.0,999,279.601639
0.0,999,282.523921
0.0,999,285.437335
0.0,999,288.376057
0.0,999,291.292507
0.0,999,294.208317
0.0,999,297.126841
0.0,999,300.048651
0.0,999,302.973373
0.0,999,305.896473
0.0,999,308.821912
0.0,999,311.747173
0.0,999,314.668828
0.0,999,317.592381
0.0,999,320.511426
0.0,999,323.428647
0.0,999,326.348123
0.0,999,329.270401
0.0,999,332.188807
0.0,999,335.107077
0.0,999,356.921772
0.0,999,359.913181
0.0,999,362.833193
0.0,999,365.755482
0.0,999,368.67326
0.0,999,371.588893
0.0,999,374.512365
0.0,999,377.438089
0.0,999,380.357651
0.0,999,383.278454
0.0,999,386.194604
0.0,999,389.110779
0.0,999,392.028461
0.0,999,394.945889
0.0,999,397.864707
0.0,999,400.785927
0.0,999,403.701654
0.0,999,406.624043
0.0,999,409.544101
0.0,999,412.461576
0.0,999,415.418263
0.0,999,418.341527
0.0,999,421.262472
0.0,999,424.180705
0.0,999,427.100451
0.0,999,430.019886
0.0,999,432.938356
0.0,999,435.855538
0.0,999,438.77279
0.0,999,441.689431
0.0,999,444.60961
0.0,999,447.530747
0.0,999,450.443337
0.0,999,453.357948
0.0,999,456.273767
0.0,999,459.191973
0.0,999,462.143545
0.0,999,465.062177
0.0,999,468.013198
0.0,999,470.931492
0.0,999,473.851865
0.0,999,476.767986
0.0,999,479.687091
0.0,999,482.605403
0.0,999,485.522473
0.0,999,488.44057
0.0,999,491.35948
0.0,999,494.280855
0.0,999,497.201329
0.0,999,500.121268
0.0,999,521.983367
0.0,999,524.979546
0.0,999,527.927959
0.0,999,530.878175
0.0,999,533.822475
0.0,999,536.766077
0.0,999,539.712146
0.0,999,542.665177
0.0,999,545.610586
0.0,999,548.55718
0.0,999,551.505481
0.0,999,554.45488
0.0,999,557.401227
0.0,999,560.354729
0.0,999,563.30201
0.0,999,566.24854
0.0,999,569.197031
0.0,999,572.141793
0.0,999,575.090623
0.0,999,578.041261
0.0,999,580.987424
0.0,999,583.932799
0.0,999,586.884787
0.0,999,589.835393
0.0,999,592.786249
0.0,999,595.749551
0.0,999,598.711882
0.0,999,601.694147
0.0,999,604.659162
0.0,999,607.620537
0.0,999,610.582086
0.0,999,613.545929
0.0,999,616.509636
0.0,999,619.473774
0.0,999,622.438633
0.0,999,625.400401
0.0,999,628.367034
0.0,999,631.336344
0.0,999,634.296541
0.0,999,637.261809
0.0,999,640.236959
0.0,999,643.207192
0.0,999,646.173718
0.0,999,649.138922
0.0,999,652.104961
0.0,999,655.071407
0.0,999,658.03776
0.0,999,660.99899
0.0,999,663.960253
0.0,999,666.920473
0.0,999,688.816089
0.0,999,691.870472
0.0,999,694.834493
0.0,999,697.794435
0.0,999,700.75917
0.0,999,703.723559
0.0,999,706.687292
0.0,999,709.650435
0.0,999,712.617885
0.0,999,715.584747
0.0,999,718.546708
0.0,999,721.516163
0.0,999,724.481056
0.0,999,727.447796
0.0,999,730.41532
0.0,999,733.38134
0.0,999,736.343325
0.0,999,739.304932
0.0,999,742.267073
0.0,999,745.233701
0.0,999,748.199254
0.0,999,751.16336
0.0,999,754.128903
0.0,999,757.07305
0.0,999,760.016221
0.0,999,762.956508
0.0,999,765.89945
0.0,999,768.84548
0.0,999,771.786451
0.0,999,774.772252
0.0,999,777.785608
0.0,999,780.79618
