#{"t_start": 1624587691.7592494, "env_id": null}
r,l,t
0.050042,999,28.650359
0.071496,999,36.483605
0.090002,999,41.452187
0.163371,999,46.497747
0.246786,999,51.515977
0.241564,999,56.688181
0.227633,999,61.698709
0.257995,999,67.018279
0.295633,999,73.33829
0.336723,999,80.448368
0.282401,999,87.501469
0.384142,999,92.995064
0.340557,999,97.910619
0.36268,999,102.741848
0.3276,999,107.580643
0.401679,999,112.57418
0.381012,999,117.750499
0.41668,999,122.904785
0.365708,999,127.828299
0.402052,999,132.691539
0.43067,999,138.18165
0.35955,999,143.283448
0.36943,999,148.290781
0.381251,999,153.07584
0.384213,999,157.840648
0.360272,999,162.612338
0.307519,999,167.95256
0.265194,999,172.790199
0.413632,999,177.685359
0.367584,999,182.653352
0.358429,999,187.597436
0.334476,999,192.737186
0.33292,999,197.801609
0.363501,999,203.821799
0.329339,999,210.329313
0.365537,999,215.446219
0.315574,999,220.541357
0.395684,999,225.736803
0.363774,999,230.860227
0.373619,999,239.933644
0.334004,999,245.063934
0.332758,999,250.21816
0.287336,999,255.470704
0.29994,999,260.980779
0.343891,999,266.499533
0.256664,999,272.190428
0.290199,999,277.120748
0.309909,999,282.378958
0.379758,999,287.429452
0.349085,999,292.687093
0.252531,999,317.533446
0.293181,999,322.388942
0.350432,999,327.219158
0.267606,999,332.055576
0.354799,999,337.388571
0.25936,999,342.708574
0.324432,999,347.74368
0.332418,999,352.741488
0.336886,999,357.687092
0.347189,999,362.583833
0.271591,999,367.440761
0.341941,999,372.321104
0.358315,999,377.180976
0.306537,999,382.213527
0.300165,999,387.1503
0.342793,999,391.967398
0.309395,999,396.824292
0.357731,999,401.768686
0.267889,999,406.79656
0.368069,999,411.78742
0.381192,999,416.626272
0.335616,999,421.555909
0.332222,999,426.391395
0.310728,999,431.222082
0.344449,999,436.038093
0.388826,999,440.867107
0.372177,999,445.673375
0.336558,999,450.502063
0.363184,999,455.570527
0.314279,999,460.556332
0.334661,999,465.347147
0.31047,999,470.162965
0.407136,999,475.029464
0.351932,999,479.997511
0.304657,999,484.865985
0.271373,999,490.013239
0.298955,999,494.93455
0.300648,999,499.828352
0.30322,999,504.766016
0.300721,999,509.612246
0.357435,999,514.459822
0.266799,999,519.287899
0.274212,999,524.057543
0.345735,999,528.882826
0.259296,999,533.69483
0.309672,999,538.647087
0.258721,999,543.522079
0.291208,999,548.341323
0.261312,999,553.145871
0.317753,999,557.964873
0.340134,999,582.173641
0.315855,999,587.004364
0.325097,999,591.812575
0.30329,999,597.100615
0.318701,999,602.137382
0.433511,999,606.998259
0.281571,999,611.810745
0.269103,999,616.626743
0.264182,999,621.468833
0.305426,999,626.294472
0.289526,999,631.115795
0.289852,999,635.954749
0.291609,999,641.069592
0.341633,999,646.107239
0.378893,999,651.022789
0.308175,999,655.927471
0.273433,999,660.724198
0.309355,999,665.588058
0.300116,999,670.505647
0.330825,999,675.408616
0.350871,999,680.216477
0.297238,999,685.089861
0.334329,999,689.991368
0.314618,999,694.891947
0.276028,999,699.717403
0.272608,999,704.546191
0.273063,999,709.37844
0.296984,999,714.147189
0.307011,999,719.160383
0.316352,999,724.615255
0.311128,999,729.799428
0.291602,999,734.898793
0.260058,999,739.702021
0.293913,999,744.510843
0.27335,999,749.343048
0.261365,999,754.20294
0.342667,999,758.926565
0.422988,999,763.701986
0.257071,999,768.776673
0.313565,999,773.515414
0.316203,999,778.20893
0.364994,999,782.930661
0.278086,999,788.043882
0.321745,999,792.846475
0.305709,999,797.82971
0.309974,999,802.829006
0.376881,999,808.091181
0.3266,999,812.90503
0.286967,999,817.865034
0.318582,999,822.94419
0.332707,999,847.176425
0.395416,999,851.982546
0.312729,999,856.878608
0.294997,999,861.777418
0.287808,999,866.940193
0.300708,999,872.127213
0.307774,999,877.480917
0.286908,999,882.312247
0.424868,999,887.082345
0.340073,999,891.82874
0.344225,999,896.611146
0.309958,999,901.480428
0.303214,999,906.377544
0.293584,999,911.79199
0.28631,999,916.68298
0.295959,999,921.745002
0.296727,999,926.462042
0.334776,999,931.543141
0.366779,999,936.877603
0.352177,999,941.722157
0.292502,999,946.620064
0.305702,999,951.421896
0.383296,999,956.361423
0.32056,999,961.271966
0.281017,999,966.00393
0.395101,999,970.956739
0.326739,999,975.917584
0.321205,999,980.721113
0.331621,999,985.753295
0.39417,999,990.637455
0.341427,999,995.419866
0.290058,999,1000.202625
0.330111,999,1004.977926
0.302546,999,1009.701829
0.281499,999,1015.172482
0.319485,999,1020.402614
0.315333,999,1025.421179
0.39998,999,1030.247416
0.29066,999,1035.259182
0.314801,999,1040.109663
0.286433,999,1044.975186
0.296616,999,1049.804873
0.304804,999,1054.608355
