#{"t_start": 1624944765.1975703, "env_id": null}
r,l,t
0.841756,999,27.450809
0.728272,999,31.233517
0.806373,999,34.76572
0.781782,999,38.26937
0.839949,999,41.984777
0.851245,999,45.447693
0.907423,999,48.931179
0.907856,999,52.409949
0.703874,999,55.883882
0.747684,999,59.312414
0.81893,999,62.786468
0.820324,999,66.250108
0.855911,999,69.72233
0.83456,999,73.240562
0.798609,999,76.681487
0.72609,999,80.19873
0.771288,999,83.740757
0.734828,999,87.340748
0.553177,999,91.557769
0.79957,999,95.385637
0.858647,999,98.889538
0.721125,999,102.477724
0.704054,999,105.987781
0.853045,999,109.467429
0.801542,999,112.92518
0.426468,999,116.403893
0.757751,999,119.885744
0.717836,999,123.365947
0.742949,999,127.086203
0.706215,999,130.687387
0.775666,999,134.143507
0.778218,999,137.661268
0.799127,999,141.130674
0.670735,999,144.622776
0.620338,999,148.072133
0.541481,999,151.535961
0.775738,999,155.066547
0.855788,999,158.535809
0.828692,999,161.968415
0.456715,999,165.418304
0.746593,999,169.176777
0.543201,999,172.667213
0.849259,999,176.149529
0.739079,999,179.645635
0.7702,999,183.123322
0.785872,999,186.603585
0.726098,999,190.074775
0.896813,999,193.573773
0.830492,999,197.04386
0.21741,999,200.570707
0.794732,999,222.99902
0.723695,999,226.554066
0.02014,999,230.04015
0.84178,999,233.449686
0.600211,999,236.878717
0.529382,999,240.297018
0.556025,999,243.726402
0.670038,999,247.171898
0.819153,999,250.884442
0.728425,999,254.355796
0.704465,999,257.843092
0.911696,999,261.337662
0.783634,999,264.83069
0.655256,999,268.325231
0.86694,999,271.80571
0.780921,999,275.327975
0.332781,999,278.813359
0.808644,999,282.293379
0.902999,999,285.804147
0.697474,999,289.495144
0.820221,999,293.131301
0.845009,999,296.602693
0.666205,999,300.062249
0.868353,999,303.535317
0.685386,999,306.984005
0.655391,999,310.492702
0.783175,999,313.930841
0.715438,999,317.343142
0.946369,999,320.72602
0.667867,999,324.165622
0.8758,999,327.559326
0.644877,999,330.945069
0.742679,999,334.379975
0.795552,999,337.88722
0.684591,999,341.465017
0.343296,999,345.317113
0.800868,999,349.162877
0.796595,999,353.038312
0.687942,999,356.588764
0.885192,999,360.053807
0.81159,999,363.524495
0.83842,999,366.997815
0.829385,999,370.450992
0.838432,999,373.958293
0.754259,999,377.374773
0.898029,999,381.075154
0.826917,999,384.646298
0.545159,999,388.159661
0.878468,999,391.678109
0.631466,999,395.147242
0.630856,999,417.930954
0.926257,999,421.436671
0.637441,999,424.914587
0.77035,999,428.416064
0.652044,999,431.941495
0.817819,999,435.433299
0.69817,999,438.975362
0.693764,999,442.545913
0.675662,999,446.06955
0.862613,999,449.569371
0.716171,999,453.115752
0.534684,999,456.614396
0.677397,999,460.143532
0.697831,999,463.69913
0.717733,999,467.167715
0.445725,999,470.682612
0.847809,999,474.176263
0.718833,999,477.695612
0.697196,999,481.21109
0.723026,999,484.699441
0.742758,999,488.134888
0.875609,999,491.585934
0.814205,999,495.049459
0.649248,999,498.534899
0.377241,999,502.037367
0.586141,999,505.528705
0.82934,999,509.153239
0.822698,999,512.879463
0.758421,999,516.640342
0.561492,999,520.075139
0.77118,999,523.5689
0.872014,999,527.019919
0.754688,999,530.661807
0.796308,999,534.097058
0.655039,999,537.583175
0.862806,999,541.0532
0.811797,999,544.549768
0.727439,999,548.049659
0.808174,999,551.513411
0.841965,999,555.031957
0.127245,999,558.496329
0.835381,999,561.981289
0.598092,999,565.438681
0.813184,999,568.948334
0.710397,999,572.41919
0.488567,999,575.910686
0.724463,999,579.373074
0.897121,999,582.82784
0.514384,999,586.277059
0.594177,999,589.779115
0.866826,999,612.644742
0.816279,999,616.788655
0.870624,999,620.335809
0.819668,999,623.920817
0.72624,999,627.48644
0.756362,999,630.932228
0.867996,999,634.420732
0.785915,999,637.835483
0.576641,999,641.229127
0.795882,999,644.719643
0.594228,999,648.359526
0.482377,999,651.746894
0.859684,999,655.143827
0.855014,999,658.568522
0.745089,999,661.96114
0.750303,999,665.371641
0.822414,999,668.76978
0.86448,999,672.197875
0.708724,999,676.223077
0.685741,999,679.635644
0.782884,999,683.028247
0.711171,999,686.444343
0.581461,999,689.875901
0.830698,999,693.267666
0.537764,999,696.685436
0.762384,999,700.100271
0.885108,999,703.496576
0.492473,999,706.890102
0.700777,999,710.556726
0.866238,999,714.076256
0.699525,999,717.592666
0.67128,999,721.021827
0.877586,999,724.419565
0.63359,999,727.83836
0.900104,999,731.255817
0.681418,999,734.674441
0.791363,999,738.096169
0.668019,999,741.522745
0.833757,999,744.971495
0.500703,999,748.399711
0.577813,999,751.80757
0.75907,999,755.253628
0.866643,999,758.691827
0.759661,999,762.099936
0.195227,999,765.546256
0.67834,999,769.182179
0.46908,999,772.579253
0.784047,999,775.960014
0.882895,999,779.355098
0.793999,999,782.782307
0.561255,999,804.76026
0.766838,999,808.49223
0.802121,999,812.157299
0.638756,999,815.822172
0.894231,999,819.493991
0.751826,999,823.160451
0.954917,999,826.877332
0.831058,999,830.623786
