#{"t_start": 1624944765.1977527, "env_id": null}
r,l,t
0.841756,999,27.450661
0.728272,999,31.233378
0.806373,999,34.765579
0.781782,999,38.26923
0.839949,999,41.984636
0.851245,999,45.447552
0.907423,999,48.93104
0.907856,999,52.409807
0.703874,999,55.883743
0.747684,999,59.312272
0.81893,999,62.786328
0.820324,999,66.249968
0.855911,999,69.722189
0.83456,999,73.240418
0.798609,999,76.681347
0.72609,999,80.198589
0.771288,999,83.74062
0.734828,999,87.340608
0.553177,999,91.557633
0.79957,999,95.385511
0.858647,999,98.889396
0.721125,999,102.477584
0.704054,999,105.987644
0.853045,999,109.467285
0.801542,999,112.925036
0.426468,999,116.403751
0.757751,999,119.885605
0.717836,999,123.36582
0.742949,999,127.086061
0.706215,999,130.687244
0.775666,999,134.143366
0.778218,999,137.661128
0.799127,999,141.130532
0.670735,999,144.622634
0.620338,999,148.071995
0.541481,999,151.535819
0.775738,999,155.066409
0.855788,999,158.535668
0.828692,999,161.968277
0.456715,999,165.418165
0.746593,999,169.176639
0.543201,999,172.667071
0.849259,999,176.14939
0.739079,999,179.645495
0.7702,999,183.123181
0.785872,999,186.603444
0.726098,999,190.074634
0.896813,999,193.573632
0.830492,999,197.043718
0.21741,999,200.570565
0.794732,999,222.998874
0.723695,999,226.553927
0.02014,999,230.040011
0.84178,999,233.449543
0.600211,999,236.878574
0.529382,999,240.296876
0.556025,999,243.726259
0.670038,999,247.171757
0.819153,999,250.884301
0.728425,999,254.355653
0.704465,999,257.84295
0.911696,999,261.337522
0.783634,999,264.830548
0.655256,999,268.325091
0.86694,999,271.805568
0.780921,999,275.327835
0.332781,999,278.813218
0.808644,999,282.293239
0.902999,999,285.804002
0.697474,999,289.495004
0.820221,999,293.131158
0.845009,999,296.602555
0.666205,999,300.062109
0.868353,999,303.535173
0.685386,999,306.983864
0.655391,999,310.492563
0.783175,999,313.930697
0.715438,999,317.342999
0.946369,999,320.725876
0.667867,999,324.165477
0.8758,999,327.559186
0.644877,999,330.944928
0.742679,999,334.379829
0.795552,999,337.88708
0.684591,999,341.464873
0.343296,999,345.31698
0.800868,999,349.162739
0.796595,999,353.038178
0.687942,999,356.588627
0.885192,999,360.053664
0.81159,999,363.524351
0.83842,999,366.997672
0.829385,999,370.45085
0.838432,999,373.958157
0.754259,999,377.37463
0.898029,999,381.075015
0.826917,999,384.646162
0.545159,999,388.159517
0.878468,999,391.677966
0.631466,999,395.147103
0.630856,999,417.930807
0.926257,999,421.436528
0.637441,999,424.914446
0.77035,999,428.415918
0.652044,999,431.941351
0.817819,999,435.433155
0.69817,999,438.975222
0.693764,999,442.545772
0.675662,999,446.069407
0.862613,999,449.569229
0.716171,999,453.11561
0.534684,999,456.614254
0.677397,999,460.143391
0.697831,999,463.698989
0.717733,999,467.167574
0.445725,999,470.68247
0.847809,999,474.176128
0.718833,999,477.695472
0.697196,999,481.210951
0.723026,999,484.699301
0.742758,999,488.134753
0.875609,999,491.585793
0.814205,999,495.049317
0.649248,999,498.534758
0.377241,999,502.037228
0.586141,999,505.52857
0.82934,999,509.1531
0.822698,999,512.87932
0.758421,999,516.6402
0.561492,999,520.074998
0.77118,999,523.56876
0.872014,999,527.019778
0.754688,999,530.661667
0.796308,999,534.096919
0.655039,999,537.583036
0.862806,999,541.053063
0.811797,999,544.549628
0.727439,999,548.04952
0.808174,999,551.513269
0.841965,999,555.031818
0.127245,999,558.496187
0.835381,999,561.981151
0.598092,999,565.438541
0.813184,999,568.948195
0.710397,999,572.41905
0.488567,999,575.910547
0.724463,999,579.372934
0.897121,999,582.827699
0.514384,999,586.276921
0.594177,999,589.778973
0.866826,999,612.644598
0.816279,999,616.788519
0.870624,999,620.335665
0.819668,999,623.920679
0.72624,999,627.4863
0.756362,999,630.932091
0.867996,999,634.42059
0.785915,999,637.835343
0.576641,999,641.228987
0.795882,999,644.719505
0.594228,999,648.359385
0.482377,999,651.746752
0.859684,999,655.143685
0.855014,999,658.568381
0.745089,999,661.961009
0.750303,999,665.371501
0.822414,999,668.769639
0.86448,999,672.197735
0.708724,999,676.222937
0.685741,999,679.635504
0.782884,999,683.02811
0.711171,999,686.444203
0.581461,999,689.875759
0.830698,999,693.267526
0.537764,999,696.685318
0.762384,999,700.100128
0.885108,999,703.496437
0.492473,999,706.889961
0.700777,999,710.556585
0.866238,999,714.076141
0.699525,999,717.592525
0.67128,999,721.021684
0.877586,999,724.419427
0.63359,999,727.83822
0.900104,999,731.255676
0.681418,999,734.674302
0.791363,999,738.09603
0.668019,999,741.522604
0.833757,999,744.971355
0.500703,999,748.39957
0.577813,999,751.807431
0.75907,999,755.253488
0.866643,999,758.691686
0.759661,999,762.099795
0.195227,999,765.546116
0.67834,999,769.18204
0.46908,999,772.579113
0.784047,999,775.959873
0.882895,999,779.354958
0.793999,999,782.782166
0.561255,999,804.760116
0.766838,999,808.492095
0.802121,999,812.157159
0.638756,999,815.822031
0.894231,999,819.49385
0.751826,999,823.160308
0.954917,999,826.877192
0.831058,999,830.623645
