#{"t_start": 1624517660.6770651, "env_id": null}
r,l,t
0.041189,999,26.30863
0.056484,999,29.732301
0.054117,999,32.779832
0.032196,999,35.822225
0.044673,999,38.963015
0.058968,999,42.779355
0.046247,999,45.929741
0.059567,999,49.131045
0.047668,999,52.138398
0.033242,999,55.129884
0.049105,999,58.162017
0.045629,999,61.160936
0.053104,999,64.329915
0.066519,999,67.413852
0.049604,999,70.418024
0.057882,999,73.433184
0.054597,999,76.450411
0.035555,999,79.564688
0.059573,999,82.573709
0.044488,999,85.59196
0.041358,999,88.656562
0.071922,999,91.780488
0.073119,999,94.784572
0.079277,999,97.85118
0.049592,999,100.921708
0.066888,999,103.969525
0.061707,999,107.034711
0.066039,999,110.101466
0.085253,999,113.22572
0.07625,999,116.300906
0.062692,999,119.403932
0.050252,999,122.4765
0.064665,999,125.549942
0.041769,999,128.60776
0.064393,999,131.630109
0.059324,999,134.665798
0.058162,999,137.753391
0.059524,999,141.241711
0.075517,999,144.26374
0.071885,999,147.272652
0.096252,999,150.274445
0.091914,999,153.280671
0.076423,999,156.273865
0.071274,999,159.26546
0.084139,999,162.26965
0.075418,999,165.258382
0.052294,999,168.259292
0.083362,999,171.262926
0.054838,999,174.265248
0.064816,999,177.293905
0.054759,999,200.251563
0.081255,999,203.436297
0.05871,999,206.561659
